n_distributor_id,dist_name,tagdt,dispatch_dtime,first_cutoff,second_cutoff,cutoff,acno,c_name,amount
70,Mayapuri,2022-07-29,2022-07-29 00:00:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,12608,NANKI MEDICOS,3103.85
70,Mayapuri,2022-07-29,2022-07-29 00:00:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,12678,DR.AKASH JUNEJA,2435.46
70,Mayapuri,2022-07-29,2022-07-29 00:00:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,12665,DR.KAPIL JAIN (HUF) [DL0155],3679.08
70,Mayapuri,2022-07-29,2022-07-29 00:00:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,14649,DR P RAM,22629.08
70,Mayapuri,2022-07-29,2022-07-29 00:00:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,12683,SAI SKIN CLINIC (DR.DEEPAK SINGHAL),4712.74
70,Mayapuri,2022-07-29,2022-07-29 11:26:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,14888,KALINGA PHARMATECH (A UNIT OF ASCENT WELLNESS),1735.35
70,Mayapuri,2022-07-29,2022-07-29 11:26:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,14240,D.C. AGENCIES - PATNA -(A UNIT OF AWPSPL),2673.0
70,Mayapuri,2022-07-29,2022-07-29 11:26:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,12461,SHREE SIMBA CHEMIST - A UNIT OF AWPSPL,76054.08
70,Mayapuri,2022-07-29,2022-07-29 11:26:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,6783,ARYAN WELLNESS PVT.LTD.,43000.0
70,Mayapuri,2022-07-29,2022-07-29 11:26:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,9425,EASTERN AGENCIES HEALTHCARE PVT LTD (MUMBAI),110998.53
70,Mayapuri,2022-07-29,2022-07-29 11:26:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,14193,DIAL HEALTH CARE INDIA PVT LTD  (NALCO ANGUL),4257.93
70,Mayapuri,2022-07-29,2022-07-29 11:47:00,2022-07-29 12:00:00,2022-07-29 16:30:00,F,11592,DOABA MEDICOS,291.11
